,species
0,Adelie
1,Gentoo
2,Gentoo
3,Gentoo
4,Adelie
5,Gentoo
6,Adelie
7,Chinstrap
8,Gentoo
9,Chinstrap
10,Adelie
11,Gentoo
12,Gentoo
13,Adelie
14,Adelie
15,Gentoo
16,Chinstrap
17,Gentoo
18,Adelie
19,Adelie
20,Adelie
21,Gentoo
22,Gentoo
23,Adelie
24,Gentoo
25,Chinstrap
26,Adelie
27,Gentoo
28,Chinstrap
29,Adelie
30,Gentoo
31,Adelie
32,Gentoo
33,Adelie
34,Adelie
35,Adelie
36,Adelie
37,Adelie
38,Adelie
39,Adelie
40,Adelie
41,Gentoo
42,Chinstrap
43,Adelie
44,Chinstrap
45,Adelie
46,Chinstrap
47,Adelie
48,Gentoo
49,Gentoo
50,Gentoo
51,Gentoo
52,Adelie
53,Adelie
54,Chinstrap
55,Adelie
56,Gentoo
57,Chinstrap
58,Gentoo
59,Adelie
60,Adelie
61,Gentoo
62,Adelie
63,Chinstrap
64,Chinstrap
65,Gentoo
66,Adelie
67,Gentoo
68,Adelie
69,Adelie
70,Gentoo
71,Gentoo
72,Adelie
73,Gentoo
74,Chinstrap
75,Adelie
76,Adelie
77,Adelie
78,Adelie
79,Gentoo
80,Gentoo
81,Gentoo
82,Gentoo
83,Adelie
84,Gentoo
85,Adelie
86,Gentoo
87,Gentoo
88,Chinstrap
89,Chinstrap
90,Adelie
91,Gentoo
92,Adelie
93,Adelie
94,Adelie
95,Gentoo
96,Adelie
97,Gentoo
98,Gentoo
99,Gentoo
100,Adelie
101,Gentoo
102,Chinstrap
103,Adelie
104,Gentoo
105,Adelie
106,Gentoo
107,Adelie
108,Adelie
109,Gentoo
110,Chinstrap
111,Adelie
112,Adelie
113,Adelie
114,Chinstrap
115,Adelie
116,Gentoo
117,Chinstrap
118,Gentoo
119,Gentoo
120,Chinstrap
121,Gentoo
122,Chinstrap
123,Gentoo
124,Gentoo
125,Chinstrap
126,Chinstrap
127,Chinstrap
128,Chinstrap
129,Adelie
130,Chinstrap
131,Gentoo
132,Adelie
133,Adelie
134,Gentoo
135,Adelie
136,Gentoo
137,Gentoo
138,Chinstrap
139,Adelie
140,Gentoo
141,Adelie
142,Adelie
143,Adelie
144,Adelie
145,Adelie
146,Gentoo
147,Chinstrap
148,Adelie
149,Adelie
150,Adelie
151,Chinstrap
152,Adelie
153,Adelie
154,Adelie
155,Adelie
156,Chinstrap
157,Chinstrap
158,Chinstrap
159,Gentoo
160,Gentoo
161,Adelie
162,Adelie
163,Adelie
164,Adelie
165,Gentoo
166,Gentoo
167,Adelie
168,Gentoo
169,Adelie
